Make,Model,Number.of.Engines,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,RiskScore
Stinson,108-3,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Piper,PA24-180,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Cessna,172M,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Rockwell,112,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Mcdonnell Douglas,DC9,2.0,Non-Fatal,0.0,0.0,1.0,44.0,2.0
Cessna,180,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Cessna,140,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,401B,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
North American,NAVION L-17B,1.0,Non-Fatal,0.0,0.0,3.0,0.0,6.0
Piper,PA-28-161,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Beech,V35B,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Bellanca,17-30A,1.0,Non-Fatal,0.0,0.0,1.0,0.0,2.0
Cessna,R172K,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Navion,A,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Beech,19,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Enstrom,280C,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,180,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Smith,WCS-222 (BELL 47G),1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,150L,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Bell,206L-1,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-24-180,1.0,Incident,0.0,0.0,0.0,1.0,0.0
Grumman,AA-5B,1.0,Fatal(2),2.0,1.0,0.0,0.0,25.0
Cessna,414A,2.0,Fatal(8),8.0,0.0,0.0,0.0,80.0
Beechcraft,BE-58,2.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Maule,M-5-235C,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,210L,1.0,Non-Fatal,0.0,0.0,1.0,1.0,2.0
Bellanca,7GCBC,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Cessna,182,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Air Tractor,AT-301,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-28-161,1.0,Fatal(4),4.0,0.0,0.0,0.0,40.0
Piper,PA-34-200T,2.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Cessna,T337G,2.0,Fatal(2),2.0,2.0,0.0,0.0,30.0
Piper,PA-28R-200,1.0,Non-Fatal,0.0,0.0,2.0,0.0,4.0
Cessna,206,1.0,Fatal(1),1.0,0.0,1.0,0.0,12.0
Navion,A,1.0,Fatal(3),3.0,0.0,0.0,0.0,30.0
Piper,PA-22,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Piper,PA-31,2.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Rockwell,114,1.0,Incident,0.0,0.0,0.0,1.0,0.0
Piper,PA-24-250,1.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Piper,PA-28R-200,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,TR182,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,A185F,1.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Cessna,340,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Aerospatiale,SA-316B,1.0,Non-Fatal,0.0,0.0,0.0,6.0,0.0
Beech,35,1.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Mooney,M-20J,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Boeing,A75,1.0,Non-Fatal,0.0,1.0,0.0,1.0,5.0
Cessna,210,1.0,Fatal(2),2.0,0.0,0.0,0.0,20.0
Beech,V35,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Curtis,C46,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,172M,1.0,Fatal(1),1.0,0.0,0.0,0.0,10.0
Piper,PA-28-140,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Cessna,TU206G,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-24-250,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,152,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Schleicher,ASW 20,0.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Cessna,P210N,1.0,Non-Fatal,0.0,1.0,0.0,3.0,5.0
Cessna,172,1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Piper,PA-34,2.0,Non-Fatal,0.0,0.0,0.0,3.0,0.0
Cessna,305 (L-19),1.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Cessna,182A,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
Piper,PA-23-250,2.0,Non-Fatal,0.0,2.0,0.0,0.0,10.0
Cessna,172N,1.0,Non-Fatal,0.0,0.0,0.0,4.0,0.0
Piper,23-250,2.0,Non-Fatal,0.0,0.0,0.0,2.0,0.0
Mooney,M20G,1.0,Fatal(1),1.0,1.0,0.0,0.0,15.0
Cessna,TU206F,1.0,Non-Fatal,0.0,0.0,4.0,0.0,8.0
Quickie,1,1.0,Non-Fatal,0.0,0.0,0.0,1.0,0.0
